,children,agefbrth,educ,age,evermarr,urban,electric,tv,usemeth,heduc,religion,frsthalf,agefm,scholarship,educ7
30,5,21.0,1,35,1,0,0,0,1,0,0.0,1,30.0,0.0,False
31,8,17.0,7,43,1,1,0,0,0,14,0.0,1,15.0,0.0,True
32,1,18.0,7,24,0,1,0,0,1,0,0.0,0,,1.0,True
33,2,21.0,12,48,1,1,1,1,1,12,1.0,0,20.0,0.0,True
34,0,,10,18,0,1,0,0,1,0,0.0,0,,1.0,True
35,0,,6,34,1,1,0,0,0,0,0.0,1,27.0,1.0,False
36,2,21.0,7,28,0,0,0,0,1,0,1.0,0,,0.0,True
37,0,,0,15,0,0,0,0,0,0,0.0,0,,0.0,False
38,0,,8,20,0,1,1,1,0,0,1.0,0,,0.0,True
39,0,,7,19,0,1,0,0,0,0,1.0,0,,0.0,True
40,4,14.0,0,27,0,1,0,0,1,0,1.0,0,,0.0,False
41,1,15.0,6,15,0,0,0,0,0,0,0.0,0,,1.0,False
42,2,19.0,10,23,0,1,0,0,1,0,0.0,1,,0.0,True
43,4,14.0,0,24,0,0,0,0,1,0,0.0,1,,0.0,False
44,2,18.0,5,21,0,1,0,0,1,0,0.0,0,,1.0,False
45,0,,10,22,0,1,0,1,1,0,1.0,0,,0.0,True
46,0,,9,15,0,1,0,0,0,0,1.0,0,,0.0,True
47,1,19.0,11,20,0,0,0,0,1,0,1.0,1,,0.0,True
48,3,21.0,0,46,1,0,0,0,0,0,0.0,1,24.0,0.0,False
49,1,15.0,7,18,1,1,0,0,1,12,1.0,0,17.0,0.0,True
50,3,23.0,0,34,1,0,0,0,0,7,0.0,1,21.0,1.0,False
51,1,20.0,10,20,0,0,0,0,1,0,0.0,1,,0.0,True
52,2,16.0,7,25,0,1,0,0,1,0,1.0,0,,0.0,True
53,0,,5,16,0,0,0,0,0,0,1.0,1,,1.0,False
54,5,18.0,7,32,0,0,0,0,1,0,1.0,1,,1.0,True
55,7,20.0,7,39,1,1,1,1,1,0,0.0,1,18.0,1.0,True
56,0,,10,20,0,0,0,0,0,0,1.0,1,,0.0,True
57,3,17.0,0,28,1,1,0,0,1,7,0.0,1,15.0,0.0,False
58,3,15.0,4,21,0,0,0,0,1,0,0.0,0,,1.0,False
59,6,17.0,0,32,1,0,0,0,1,3,0.0,0,29.0,0.0,False
60,7,21.0,5,45,1,0,0,0,1,0,1.0,1,31.0,1.0,False
61,3,18.0,6,24,1,1,0,0,1,0,0.0,1,17.0,0.0,False
62,3,20.0,6,24,1,0,0,0,0,0,0.0,1,19.0,0.0,False
63,1,16.0,9,16,0,0,0,0,1,0,1.0,0,,0.0,True
64,0,,3,23,0,0,0,0,0,0,1.0,1,,1.0,False
65,3,20.0,10,28,1,1,0,0,0,6,0.0,0,19.0,1.0,True
66,3,19.0,0,25,1,1,0,0,1,0,0.0,0,21.0,0.0,False
67,4,17.0,7,28,1,1,0,1,0,7,1.0,0,17.0,1.0,True
68,4,22.0,9,33,1,1,0,0,1,10,0.0,1,21.0,0.0,True
69,1,22.0,0,33,1,1,0,0,0,5,0.0,1,21.0,0.0,False
70,4,20.0,2,37,1,0,0,0,1,0,1.0,0,19.0,0.0,False
71,6,20.0,5,39,1,0,0,0,0,0,1.0,1,19.0,1.0,False
72,2,19.0,0,24,1,1,0,1,0,12,0.0,0,18.0,1.0,False
73,2,18.0,7,27,1,1,1,1,1,7,0.0,0,19.0,1.0,True
74,1,20.0,7,27,0,1,0,0,1,0,0.0,0,,0.0,True
75,3,18.0,0,30,0,0,0,0,0,0,0.0,1,,0.0,False
76,2,18.0,7,22,0,1,0,0,1,0,0.0,1,,0.0,True
77,2,14.0,0,20,1,1,0,0,1,10,0.0,1,13.0,0.0,False
78,1,18.0,0,23,0,0,0,0,1,0,0.0,1,,0.0,False
79,3,19.0,10,27,0,1,0,0,1,0,1.0,1,,1.0,True
80,0,,8,15,0,0,0,0,1,0,0.0,0,,1.0,True
81,1,15.0,7,18,0,1,0,0,1,0,0.0,0,,1.0,True
82,0,,7,20,1,1,0,0,1,7,0.0,1,18.0,0.0,True
83,3,19.0,5,30,0,1,0,0,1,0,1.0,1,,0.0,False
84,7,21.0,3,47,1,0,0,0,1,0,1.0,1,37.0,0.0,False
85,0,,3,23,0,1,1,0,0,0,0.0,0,,0.0,False
86,2,19.0,3,32,0,0,0,0,1,0,1.0,0,,1.0,False
87,2,18.0,10,19,0,1,0,0,1,0,0.0,0,,1.0,True
88,0,,5,16,0,1,0,0,0,0,0.0,0,,1.0,False
89,5,18.0,4,32,1,0,0,0,1,6,1.0,1,17.0,0.0,False
90,0,,7,19,0,0,1,1,0,0,1.0,0,,1.0,True
91,5,19.0,0,33,0,0,0,0,0,0,1.0,0,,0.0,False
92,5,16.0,5,36,0,1,0,0,1,0,1.0,0,,0.0,False
93,2,17.0,0,31,1,1,0,0,1,0,0.0,1,15.0,0.0,False
94,3,18.0,4,30,0,0,0,0,1,0,0.0,0,,0.0,False
95,6,19.0,7,37,1,1,1,0,1,10,1.0,0,34.0,1.0,True
96,9,19.0,0,44,1,0,0,0,1,0,0.0,0,19.0,0.0,False
97,0,,5,21,0,0,0,0,0,0,0.0,1,,0.0,False
98,12,17.0,0,40,1,0,0,0,0,5,0.0,0,18.0,0.0,False
99,2,18.0,4,22,0,0,0,0,0,0,1.0,1,,0.0,False
100,0,,0,42,1,0,0,0,0,0,0.0,0,40.0,0.0,False
101,1,18.0,12,22,1,1,1,0,1,7,1.0,0,17.0,0.0,True
102,0,,10,21,0,1,0,0,0,0,1.0,1,,0.0,True
103,1,22.0,10,23,1,1,1,0,1,10,0.0,0,21.0,0.0,True
104,2,20.0,10,26,1,1,1,1,1,12,0.0,1,21.0,0.0,True
105,7,18.0,6,38,0,0,0,0,0,0,0.0,1,,0.0,False
106,1,26.0,5,30,1,1,0,0,0,7,0.0,1,28.0,0.0,False
107,8,16.0,4,43,1,0,0,0,0,7,1.0,0,21.0,1.0,False
108,2,29.0,3,40,0,1,0,0,1,0,0.0,1,,0.0,False
109,1,16.0,7,16,0,1,0,0,0,0,0.0,1,,1.0,True
110,4,26.0,10,47,1,0,0,0,0,15,1.0,1,25.0,0.0,True
111,2,17.0,3,27,0,0,0,0,1,0,0.0,0,,0.0,False
112,2,23.0,0,29,0,0,0,0,0,0,0.0,0,,0.0,False
113,1,15.0,3,17,0,0,0,0,1,0,0.0,1,,0.0,False
114,1,21.0,7,22,0,1,0,0,1,0,1.0,0,,1.0,True
115,4,18.0,6,27,1,1,0,0,1,0,0.0,0,23.0,1.0,False
116,0,,6,16,0,0,0,0,0,0,0.0,1,,1.0,False
117,3,23.0,7,29,1,1,1,0,1,7,0.0,0,24.0,1.0,True
118,1,17.0,0,23,1,0,0,0,1,7,0.0,0,20.0,0.0,False
119,1,22.0,0,32,0,0,0,0,0,0,0.0,0,,0.0,False
120,4,22.0,6,38,1,1,1,0,1,0,0.0,0,16.0,0.0,False
121,3,16.0,4,30,0,1,0,0,1,0,1.0,1,,1.0,False
122,6,14.0,7,35,1,0,0,0,1,0,0.0,1,15.0,0.0,True
123,2,30.0,15,47,1,1,1,0,1,15,0.0,1,21.0,0.0,True
124,3,16.0,7,25,1,0,0,0,1,7,0.0,1,14.0,0.0,True
125,4,17.0,2,34,1,0,0,0,0,4,0.0,0,13.0,0.0,False
126,0,,5,19,1,0,0,0,0,0,0.0,0,18.0,1.0,False
127,1,22.0,0,24,0,0,0,0,0,0,0.0,0,,1.0,False
128,3,22.0,4,30,1,0,0,0,1,7,0.0,0,20.0,0.0,False
129,0,,5,20,0,0,0,0,0,0,0.0,0,,1.0,False
130,1,17.0,1,35,1,1,0,0,0,0,0.0,1,16.0,1.0,False
131,0,,0,20,0,0,0,0,0,0,0.0,0,,0.0,False
132,2,19.0,7,25,1,1,1,0,1,7,0.0,0,18.0,0.0,True
133,1,18.0,11,22,1,1,0,0,1,10,1.0,0,19.0,1.0,True
134,4,24.0,4,48,1,0,0,0,1,0,1.0,1,24.0,1.0,False
135,2,17.0,10,21,1,0,0,0,1,12,0.0,0,19.0,1.0,True
136,4,20.0,6,36,1,1,0,0,1,12,0.0,1,22.0,1.0,False
137,1,22.0,7,22,1,0,0,0,0,0,1.0,1,19.0,0.0,True
138,4,18.0,0,30,1,1,0,0,1,3,0.0,1,30.0,1.0,False
139,5,19.0,5,32,1,0,0,0,1,7,0.0,0,23.0,1.0,False
140,0,,10,19,0,1,0,0,1,0,0.0,1,,1.0,True
141,1,19.0,6,21,0,1,1,0,0,0,0.0,1,,1.0,False
142,0,,3,15,0,0,0,0,0,0,0.0,0,,0.0,False
143,0,,7,18,0,1,1,1,0,0,0.0,0,,1.0,True
144,3,21.0,0,46,0,0,0,0,0,0,1.0,1,,0.0,False
145,0,,7,15,0,0,0,0,0,0,1.0,0,,1.0,True
146,2,20.0,9,24,0,1,0,0,0,0,0.0,0,,1.0,True
147,1,18.0,3,23,0,1,0,0,0,0,0.0,1,,1.0,False
148,0,,10,16,0,1,0,0,0,0,0.0,0,,0.0,True
149,2,18.0,10,26,1,1,0,0,1,10,0.0,1,16.0,0.0,True
150,0,,7,16,0,0,0,0,0,0,1.0,1,,0.0,True
151,0,,10,17,0,0,0,0,0,0,0.0,1,,0.0,True
152,1,17.0,10,18,0,0,0,0,0,0,1.0,0,,1.0,True
153,2,18.0,0,24,0,0,0,0,0,0,0.0,1,,1.0,False
154,1,21.0,7,21,1,0,0,0,1,0,0.0,1,19.0,1.0,True
155,0,,5,16,0,0,0,0,0,0,0.0,0,,1.0,False
156,10,21.0,0,48,1,0,0,0,0,0,0.0,1,37.0,1.0,False
157,4,19.0,0,29,1,0,0,0,0,0,0.0,1,18.0,0.0,False
158,1,18.0,7,19,0,0,0,1,0,0,1.0,1,,0.0,True
159,0,,0,17,0,0,0,0,0,0,0.0,1,,0.0,False
160,4,17.0,7,29,1,0,0,0,1,5,1.0,1,16.0,0.0,True
161,0,,4,30,0,0,0,0,0,0,0.0,0,,1.0,False
162,2,21.0,0,28,1,1,0,0,1,7,0.0,1,16.0,0.0,False
163,7,19.0,5,40,0,0,0,0,1,0,0.0,1,,0.0,False
164,7,18.0,0,48,1,1,0,0,0,5,0.0,1,17.0,0.0,False
165,3,15.0,7,26,0,0,0,0,1,0,0.0,1,,1.0,True
166,2,18.0,10,30,1,1,0,0,1,10,0.0,0,17.0,0.0,True
167,1,17.0,6,17,1,0,0,0,1,6,0.0,0,17.0,1.0,False
168,4,16.0,12,39,0,0,0,0,1,0,0.0,1,,1.0,True
169,1,15.0,7,21,0,1,0,0,1,0,0.0,1,,1.0,True
170,2,19.0,7,22,0,0,0,0,1,0,0.0,0,,0.0,True
171,1,17.0,7,17,0,1,0,0,0,0,0.0,0,,0.0,True
172,0,,7,23,1,1,0,0,0,0,0.0,1,20.0,1.0,True
173,2,19.0,7,24,1,0,0,0,0,7,0.0,1,22.0,0.0,True
174,1,20.0,10,25,0,1,0,0,1,0,1.0,0,,1.0,True
175,4,17.0,7,31,0,1,0,0,1,0,1.0,1,,0.0,True
176,2,18.0,7,24,1,1,0,0,0,0,0.0,0,16.0,0.0,True
177,0,,7,15,0,0,0,0,0,0,1.0,1,,0.0,True
178,2,15.0,6,28,1,0,0,0,1,12,1.0,0,19.0,1.0,False
179,4,18.0,7,28,1,0,0,0,1,0,1.0,1,17.0,1.0,True
180,7,17.0,0,39,1,1,0,0,1,0,0.0,1,35.0,0.0,False
181,4,20.0,5,32,1,0,0,0,1,0,1.0,1,18.0,1.0,False
182,0,,7,18,0,1,0,0,0,0,1.0,0,,0.0,True
183,2,21.0,7,28,1,0,0,0,1,14,0.0,1,25.0,0.0,True
184,1,20.0,5,20,0,0,0,0,0,0,1.0,1,,0.0,False
185,0,,4,16,0,1,0,0,0,0,1.0,0,,1.0,False
186,0,,8,16,0,0,0,0,1,0,0.0,0,,1.0,True
187,0,,6,21,0,0,0,0,0,0,0.0,1,,1.0,False
188,0,,11,19,0,0,1,0,1,0,0.0,0,,0.0,True
189,1,18.0,10,19,0,1,0,0,0,0,1.0,0,,0.0,True
190,2,18.0,9,23,0,1,0,1,1,0,0.0,1,,0.0,True
191,3,21.0,14,43,1,1,1,1,1,15,1.0,0,21.0,0.0,True
192,5,16.0,6,28,1,0,0,0,0,7,0.0,0,19.0,1.0,False
193,0,,7,18,0,1,0,0,0,0,0.0,1,,0.0,True
194,6,16.0,5,36,1,0,0,0,0,0,0.0,1,26.0,1.0,False
195,1,17.0,7,24,0,1,0,0,1,0,0.0,0,,0.0,True
196,2,19.0,7,25,0,0,0,0,1,0,0.0,1,,1.0,True
197,1,19.0,6,35,0,0,0,0,1,0,0.0,1,,1.0,False
198,1,17.0,9,18,0,0,0,0,0,0,0.0,0,,1.0,True
199,2,21.0,0,27,1,0,0,0,1,0,1.0,0,15.0,0.0,False
200,0,,8,15,0,0,0,0,0,0,1.0,1,,0.0,True
201,7,16.0,7,40,1,1,0,0,0,7,1.0,0,12.0,0.0,True
202,2,18.0,0,26,0,1,0,0,1,0,0.0,0,,0.0,False
203,6,18.0,7,38,1,1,0,0,1,7,1.0,1,19.0,1.0,True
204,0,,7,26,0,1,0,0,0,0,1.0,1,,1.0,True
205,0,,7,27,0,1,0,0,0,0,0.0,0,,1.0,True
206,0,,0,46,1,0,0,0,0,0,0.0,0,24.0,0.0,False
207,1,21.0,10,22,0,0,0,0,0,0,1.0,0,,1.0,True
208,0,,8,16,0,0,0,0,0,0,0.0,1,,1.0,True
209,3,19.0,7,30,0,0,0,0,1,0,1.0,0,,0.0,True
210,6,23.0,4,36,1,1,0,0,1,0,0.0,1,17.0,1.0,False
211,2,18.0,7,22,1,1,0,0,1,9,0.0,1,17.0,1.0,True
212,3,19.0,0,26,1,1,0,0,1,0,0.0,1,22.0,1.0,False
213,1,19.0,7,26,0,1,0,0,1,0,0.0,1,,0.0,True
214,6,18.0,0,35,1,1,0,0,1,7,0.0,0,16.0,0.0,False
215,3,20.0,9,30,1,0,0,0,1,16,0.0,0,21.0,0.0,True
216,0,,9,15,0,1,1,1,0,0,0.0,1,,0.0,True
217,3,21.0,0,36,0,0,0,0,1,0,1.0,1,,0.0,False
218,1,15.0,4,35,0,0,0,0,0,0,1.0,1,,0.0,False
219,4,16.0,2,25,1,0,0,0,0,0,0.0,1,18.0,1.0,False
220,4,14.0,0,26,1,0,0,0,0,0,0.0,1,13.0,0.0,False
221,1,23.0,7,27,0,1,0,0,1,0,1.0,0,,1.0,True
222,3,17.0,0,30,1,1,0,0,1,5,0.0,0,16.0,0.0,False
223,0,,6,18,0,1,1,0,0,0,1.0,1,,0.0,False
224,1,15.0,0,37,1,1,0,0,0,0,0.0,0,16.0,0.0,False
225,1,12.0,0,17,0,1,0,0,0,0,0.0,1,,0.0,False
226,1,16.0,7,28,1,0,0,0,0,9,0.0,0,17.0,0.0,True
227,2,22.0,6,49,1,1,1,0,0,4,1.0,0,22.0,0.0,False
228,5,21.0,0,33,1,1,0,0,1,0,0.0,1,27.0,1.0,False
229,8,19.0,4,39,1,0,0,0,1,0,0.0,1,28.0,1.0,False
230,0,,6,15,0,0,0,0,0,0,0.0,0,,0.0,False
231,3,18.0,8,29,1,1,0,0,1,7,1.0,1,14.0,1.0,True
232,3,19.0,7,30,1,0,0,0,1,0,1.0,1,17.0,0.0,True
233,1,16.0,8,18,0,0,0,0,1,0,0.0,0,,1.0,True
234,2,14.0,0,32,1,1,0,0,0,3,0.0,1,20.0,1.0,False
235,0,,7,16,0,0,0,0,0,0,1.0,1,,1.0,True
236,1,22.0,0,33,1,1,0,0,1,7,0.0,1,29.0,0.0,False
237,2,20.0,15,28,1,1,1,0,1,12,0.0,0,16.0,0.0,True
238,0,,10,24,0,1,0,0,0,0,1.0,0,,1.0,True
239,7,17.0,0,36,1,0,0,0,0,0,0.0,0,16.0,0.0,False
240,4,18.0,5,34,1,0,0,0,1,10,1.0,0,19.0,1.0,False
241,1,23.0,10,25,1,0,1,0,1,12,0.0,1,24.0,0.0,True
242,1,21.0,0,47,1,1,0,0,0,4,0.0,1,19.0,0.0,False
243,2,29.0,0,38,0,0,0,0,0,0,0.0,0,,0.0,False
244,0,,8,18,0,1,0,0,1,0,0.0,1,,0.0,True
245,3,19.0,7,40,1,1,0,0,1,6,1.0,0,20.0,0.0,True
246,2,24.0,0,28,1,0,0,0,0,1,0.0,0,23.0,1.0,False
247,0,,0,24,1,1,0,0,0,10,1.0,1,21.0,1.0,False
248,0,,7,31,0,1,1,1,1,0,1.0,1,,0.0,True
249,5,16.0,0,33,1,0,0,0,1,0,0.0,1,26.0,1.0,False
250,4,16.0,0,31,1,0,0,0,1,7,0.0,1,29.0,1.0,False
251,0,,0,18,0,1,0,0,0,0,0.0,1,,0.0,False
252,0,,7,23,0,1,0,0,1,0,1.0,0,,1.0,True
253,0,,9,18,0,1,1,1,1,0,0.0,1,,1.0,True
254,8,22.0,1,47,1,0,0,0,0,0,1.0,0,21.0,0.0,False
255,2,23.0,10,29,0,1,1,0,1,0,1.0,0,,1.0,True
256,6,19.0,3,38,1,0,0,0,1,0,1.0,0,32.0,0.0,False
257,1,19.0,10,24,0,1,1,0,1,0,1.0,0,,0.0,True
258,0,,7,18,0,0,0,0,0,0,1.0,0,,1.0,True
259,4,15.0,0,48,1,1,0,0,0,10,1.0,0,13.0,0.0,False
260,3,19.0,0,29,1,0,0,0,1,0,0.0,0,18.0,0.0,False
261,4,18.0,5,25,1,1,0,0,1,14,0.0,0,21.0,1.0,False
262,0,,10,20,0,0,0,0,1,0,1.0,0,,1.0,True
263,3,17.0,7,28,0,0,0,0,1,0,0.0,0,,1.0,True
264,6,18.0,4,40,1,1,0,0,1,0,0.0,0,17.0,0.0,False
265,4,20.0,7,38,1,0,0,0,1,10,0.0,0,22.0,0.0,True
266,0,,6,15,0,1,0,0,0,0,0.0,1,,1.0,False
267,2,17.0,7,20,1,0,0,0,1,10,0.0,0,17.0,0.0,True
268,3,17.0,12,41,1,1,1,1,1,12,1.0,0,17.0,1.0,True
269,1,20.0,14,21,0,1,0,0,1,0,0.0,0,,1.0,True
270,6,17.0,0,36,1,1,0,0,1,3,0.0,0,26.0,0.0,False
271,3,16.0,1,28,1,1,0,1,0,0,0.0,1,15.0,0.0,False
272,3,21.0,0,35,1,1,0,0,1,0,0.0,1,19.0,0.0,False
273,0,,4,18,0,1,0,0,0,0,0.0,1,,1.0,False
274,0,,1,16,0,0,0,0,0,0,1.0,1,,0.0,False
275,3,19.0,0,28,1,0,0,0,1,0,1.0,1,19.0,1.0,False
276,3,23.0,0,30,1,0,0,0,0,0,0.0,0,26.0,1.0,False
277,4,18.0,6,29,1,0,0,0,1,0,1.0,0,16.0,0.0,False
278,1,17.0,7,34,1,1,0,0,0,7,0.0,1,23.0,1.0,True
279,3,19.0,1,34,1,0,0,0,0,0,1.0,0,21.0,1.0,False
280,6,18.0,0,31,0,1,0,0,1,0,0.0,0,,0.0,False
281,1,17.0,10,21,0,1,0,0,1,0,0.0,0,,1.0,True
282,0,,7,16,0,1,0,0,0,0,0.0,1,,0.0,True
283,1,17.0,7,20,1,1,0,0,0,7,0.0,1,20.0,0.0,True
284,4,18.0,0,28,0,0,0,0,1,0,0.0,1,,1.0,False
285,1,18.0,9,20,0,0,0,0,0,0,0.0,0,,1.0,True
286,6,21.0,0,41,1,1,0,0,1,0,0.0,1,22.0,0.0,False
287,2,18.0,6,23,0,0,0,0,1,0,0.0,1,,1.0,False
288,3,23.0,12,40,1,1,1,1,1,15,0.0,0,22.0,1.0,True
289,1,26.0,12,33,1,1,1,0,1,12,0.0,0,22.0,1.0,True
290,2,16.0,5,19,1,1,0,0,1,0,0.0,0,15.0,0.0,False
291,3,16.0,10,28,1,1,0,0,0,10,1.0,0,13.0,1.0,True
292,4,20.0,3,33,1,1,0,0,1,0,0.0,1,12.0,0.0,False
293,5,18.0,7,41,1,1,0,0,1,1,1.0,1,16.0,0.0,True
294,1,18.0,0,20,0,0,0,0,0,0,0.0,0,,0.0,False
295,1,18.0,10,23,1,1,0,0,1,12,1.0,0,16.0,0.0,True
296,3,17.0,7,36,0,1,0,0,1,0,0.0,0,,0.0,True
297,1,20.0,12,23,0,1,0,0,1,0,0.0,0,,1.0,True
298,3,16.0,0,27,1,0,0,0,0,8,0.0,1,11.0,0.0,False
299,4,19.0,10,29,1,0,0,0,1,7,0.0,0,19.0,1.0,True
300,4,18.0,7,31,1,0,0,0,1,0,1.0,0,18.0,1.0,True
301,0,,7,21,0,0,0,0,0,0,0.0,0,,0.0,True
302,4,21.0,7,34,1,0,0,0,0,0,1.0,0,20.0,1.0,True
303,1,16.0,7,16,0,1,0,0,1,0,0.0,1,,1.0,True
304,0,,12,19,0,0,0,0,1,0,1.0,0,,1.0,True
305,7,18.0,2,34,1,0,0,0,1,0,0.0,0,24.0,1.0,False
306,4,16.0,5,43,1,1,1,0,1,6,0.0,1,16.0,0.0,False
307,8,21.0,0,47,0,0,0,0,1,0,0.0,1,,0.0,False
308,0,,7,18,0,1,1,1,1,0,0.0,0,,0.0,True
309,0,,7,18,0,0,0,0,0,0,0.0,0,,0.0,True
310,2,19.0,7,28,0,0,0,0,1,0,0.0,0,,0.0,True
311,3,17.0,5,36,0,1,0,0,0,0,0.0,1,,0.0,False
312,3,17.0,7,32,0,1,0,0,1,0,0.0,1,,0.0,True
313,2,19.0,10,22,1,1,0,0,1,7,0.0,0,20.0,0.0,True
314,0,,9,18,0,1,0,0,0,0,0.0,0,,1.0,True
315,3,17.0,7,26,1,1,0,0,1,9,0.0,1,16.0,0.0,True
316,2,18.0,8,22,0,0,0,0,1,0,0.0,1,,0.0,True
317,5,18.0,7,29,1,0,0,0,0,7,1.0,0,17.0,0.0,True
318,0,,7,17,0,0,0,0,0,0,0.0,0,,1.0,True
319,0,,9,16,0,0,0,0,0,0,0.0,0,,1.0,True
320,8,16.0,0,34,1,1,0,0,0,0,0.0,1,15.0,1.0,False
321,2,17.0,6,21,0,0,0,0,1,0,0.0,1,,0.0,False
322,8,18.0,0,37,1,1,0,0,0,4,0.0,1,17.0,0.0,False
323,2,16.0,8,24,0,1,0,0,1,0,0.0,0,,1.0,True
324,3,18.0,5,25,1,1,0,0,1,5,0.0,0,17.0,0.0,False
325,7,19.0,0,46,1,0,0,0,0,3,0.0,1,20.0,0.0,False
326,0,,10,21,0,1,0,0,0,0,0.0,0,,1.0,True
327,1,19.0,7,22,0,1,0,0,1,0,1.0,0,,0.0,True
328,5,19.0,0,37,1,0,0,0,0,0,0.0,1,18.0,0.0,False
329,0,,10,26,0,1,0,0,1,0,1.0,1,,0.0,True
330,1,15.0,0,21,1,1,0,0,1,12,0.0,1,13.0,1.0,False
331,0,,7,16,0,0,0,0,0,0,1.0,0,,0.0,True
332,1,24.0,5,24,0,0,0,0,0,0,1.0,1,,1.0,False
333,6,20.0,10,36,1,1,1,1,1,10,1.0,1,18.0,1.0,True
334,1,20.0,3,22,0,0,0,0,1,0,0.0,1,,0.0,False
335,2,19.0,7,24,0,0,0,0,0,0,1.0,0,,0.0,True
336,0,,7,22,0,1,0,0,1,0,1.0,1,,0.0,True
337,3,19.0,8,34,0,0,0,0,1,0,0.0,1,,1.0,True
338,6,20.0,0,42,1,0,0,0,1,0,1.0,0,27.0,0.0,False
339,0,,7,19,0,0,0,0,1,0,1.0,0,,1.0,True
340,2,23.0,12,32,1,0,0,0,1,10,1.0,0,23.0,1.0,True
341,2,15.0,0,31,1,1,0,0,0,9,0.0,0,25.0,1.0,False
342,6,18.0,0,37,1,0,0,0,1,0,0.0,1,22.0,0.0,False
343,3,17.0,7,28,0,1,0,0,1,0,1.0,1,,1.0,True
344,1,18.0,1,35,0,1,0,0,0,0,0.0,0,,1.0,False
345,0,,7,19,0,0,0,0,0,0,0.0,1,,1.0,True
346,1,20.0,12,20,1,0,0,0,1,0,0.0,1,19.0,0.0,True
347,2,21.0,8,33,0,1,0,0,1,0,1.0,0,,1.0,True
348,5,15.0,0,35,1,0,0,0,0,0,0.0,1,14.0,0.0,False
349,0,,7,22,0,1,1,1,0,0,0.0,1,,1.0,True
350,2,17.0,7,26,1,1,0,0,1,10,1.0,1,17.0,1.0,True
351,1,21.0,7,25,0,0,0,0,1,0,0.0,1,,0.0,True
352,3,18.0,2,48,1,0,0,0,0,0,1.0,1,15.0,0.0,False
353,3,17.0,7,29,1,1,0,1,1,0,1.0,0,16.0,1.0,True
354,0,,9,16,0,1,1,0,1,0,0.0,1,,1.0,True
355,1,22.0,10,22,0,0,0,0,1,0,1.0,0,,1.0,True
356,0,,7,15,0,1,0,0,0,0,0.0,1,,0.0,True
357,0,,7,20,0,1,0,0,1,0,0.0,0,,0.0,True
358,3,21.0,7,37,1,1,0,0,1,10,1.0,1,18.0,1.0,True
359,1,18.0,4,40,1,0,0,0,1,0,0.0,1,29.0,0.0,False
360,1,17.0,8,17,0,1,0,0,0,0,0.0,1,,0.0,True
361,4,16.0,10,33,1,1,1,1,0,12,0.0,0,14.0,0.0,True
362,0,,7,18,0,1,0,0,0,0,0.0,0,,1.0,True
363,4,28.0,15,37,1,1,1,1,1,15,0.0,1,36.0,1.0,True
364,2,19.0,7,28,0,0,0,0,1,0,1.0,1,,1.0,True
365,0,,9,15,0,0,0,0,0,0,1.0,0,,0.0,True
366,5,19.0,6,42,1,0,0,0,0,4,0.0,1,20.0,1.0,False
367,1,17.0,7,18,0,0,0,0,1,0,0.0,0,,0.0,True
